# Transcript IDs from the BED file provided by Birmingham, annotated with information
# from MANE.GRCh38.v1.5.summary.txt.gz
# (https://ftp.ncbi.nlm.nih.gov/refseq/MANE/MANE_human/release_1.5/)
#
# This analysis was suggested by the team to determine how many TSO500 transcripts
# correspond to MANE Select or MANE Plus Clinical transcripts.

TSO500_transcripts	#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
NM_001281766.3	GeneID:2044	ENSG00000145242.16	HGNC:3389	EPHA5	EPH receptor A5	NM_001281766.3	NP_001268695.1	ENST00000613740.5	ENSP00000478537.1	MANE Select	NC_000004.12	65319567	65670489	-
NM_001282426.2	GeneID:5294	ENSG00000105851.12	HGNC:8978	PIK3CG	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	NM_001282426.2	NP_001269355.1	ENST00000496166.6	ENSP00000419260.1	MANE Select	NC_000007.14	106865282	106908980	+
NM_001282547.2	GeneID:83931	ENSG00000196182.13	HGNC:21373	STK40	serine/threonine kinase 40	NM_001282547.2	NP_001269476.1	ENST00000373132.4	ENSP00000362224.4	MANE Select	NC_000001.11	36339628	36385924	-
NM_001284292.2	GeneID:256646	ENSG00000184507.18	HGNC:29919	NUTM1	NUT midline carcinoma family member 1	NM_001284292.2	NP_001271221.2	ENST00000537011.6	ENSP00000444896.1	MANE Select	NC_000015.10	34343315	34357735	+
NM_001288705.3	GeneID:1436	ENSG00000182578.16	HGNC:2433	CSF1R	colony stimulating factor 1 receptor	NM_001288705.3	NP_001275634.1	ENST00000675795.1	ENSP00000501699.1	MANE Select	NC_000005.10	150053295	150086554	-
NM_001288718.2	GeneID:6776	ENSG00000126561.20	HGNC:11366	STAT5A	signal transducer and activator of transcription 5A	NM_001288718.2	NP_001275647.1	ENST00000590949.6	ENSP00000468749.1	MANE Select	NC_000017.11	42288498	42311943	+
NM_001288772.2	GeneID:5288	ENSG00000139144.13	HGNC:8973	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	NM_001288772.2	NP_001275701.1	ENST00000538779.6	ENSP00000445381.1	MANE Select	NC_000012.12	18261518	18648416	+
NM_001291415.2	GeneID:7403	ENSG00000147050.20	HGNC:12637	KDM6A	lysine demethylase 6A	NM_001291415.2	NP_001278344.1	ENST00000611820.5	ENSP00000483595.2	MANE Select	NC_000023.11	44873188	45112779	+
NM_001291746.2	GeneID:5966	ENSG00000162924.18	HGNC:9954	REL	"REL proto-oncogene, NF-kB subunit"	NM_001291746.2	NP_001278675.1	ENST00000394479.4	ENSP00000377989.4	MANE Select	NC_000002.12	60881574	60931612	+
NM_001300942.2	GeneID:56946	ENSG00000158636.19	HGNC:18071	EMSY	"EMSY transcriptional repressor, BRCA2 interacting"	NM_001300942.2	NP_001287871.1	ENST00000695367.1	ENSP00000511840.1	MANE Select	NC_000011.10	76445018	76553031	+
NM_001308093.3	GeneID:2626	ENSG00000136574.21	HGNC:4173	GATA4	GATA binding protein 4	NM_001308093.3	NP_001295022.1	ENST00000532059.6	ENSP00000435712.1	MANE Select	NC_000008.11	11704202	11760002	+
NM_001349338.3	GeneID:27086	ENSG00000114861.26	HGNC:3823	FOXP1	forkhead box P1	NM_001349338.3	NP_001336267.1	ENST00000649528.3	ENSP00000497369.1	MANE Select	NC_000003.12	70954708	71583728	-
NM_001349798.2	GeneID:55294	ENSG00000109670.19	HGNC:16712	FBXW7	F-box and WD repeat domain containing 7	NM_001349798.2	NP_001336727.1	ENST00000281708.10	ENSP00000281708.3	MANE Select	NC_000004.12	152320544	152536092	-
NM_001358.3	GeneID:1665	ENSG00000109606.15	HGNC:2738	DHX15	DEAH-box helicase 15	NM_001358.3	NP_001349.2	ENST00000336812.5	ENSP00000336741.4	MANE Select	NC_000004.12	24527475	24584554	-
NM_001361665.2	GeneID:2247	ENSG00000138685.19	HGNC:3676	FGF2	fibroblast growth factor 2	NM_001361665.2	NP_001348594.1	ENST00000644866.2	ENSP00000494222.1	MANE Select	NC_000004.12	122826831	122898236	+
NM_001367943.1	GeneID:6934	ENSG00000148737.20	HGNC:11641	TCF7L2	transcription factor 7 like 2	NM_001367943.1	NP_001354872.1	ENST00000355995.9	ENSP00000348274.4	MANE Select	NC_000010.11	112950247	113167678	+
NM_001370259.2	GeneID:4221	ENSG00000133895.21	HGNC:7010	MEN1	menin 1	NM_001370259.2	NP_001357188.2	ENST00000450708.7	ENSP00000394933.3	MANE Select	NC_000011.10	64803516	64810551	-
NM_001372051.1	GeneID:841	ENSG00000064012.26	HGNC:1509	CASP8	caspase 8	NM_001372051.1	NP_001358980.1	ENST00000673742.1	ENSP00000501268.1	MANE Select	NC_000002.12	201260536	201287709	+
NM_001374828.1	GeneID:57492	ENSG00000049618.27	HGNC:18040	ARID1B	AT-rich interaction domain 1B	NM_001374828.1	NP_001361757.1	ENST00000636930.2	ENSP00000490491.2	MANE Select	NC_000006.12	156777378	157210779	+
NM_001376937.1	GeneID:8351	ENSG00000197409.9	HGNC:4767	H3C4	H3 clustered histone 4	NM_001376937.1	NP_001363866.1	ENST00000356476.3	ENSP00000366999.2	MANE Select	NC_000006.12	26196784	26197286	-
NM_001377334.1	GeneID:5287	ENSG00000133056.16	HGNC:8972	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	NM_001377334.1	NP_001364263.1	ENST00000684373.1	ENSP00000507222.1	MANE Select	NC_000001.11	204422633	204494805	-
NM_001378743.1	GeneID:1540	ENSG00000083799.20	HGNC:2584	CYLD	CYLD lysine 63 deubiquitinase	NM_001378743.1	NP_001365672.1	ENST00000427738.8	ENSP00000392025.3	MANE Select	NC_000016.10	50742086	50801935	+
NM_001378902.1	GeneID:6098	ENSG00000047936.13	HGNC:10261	ROS1	"ROS proto-oncogene 1, receptor tyrosine kinase"	NM_001378902.1	NP_001365831.1	ENST00000368507.8	ENSP00000357493.3	MANE Select	NC_000006.12	117287353	117425942	-
NM_001379291.1	GeneID:23476	ENSG00000141867.20	HGNC:13575	BRD4	bromodomain containing 4	NM_001379291.1	NP_001366220.1	ENST00000679869.1	ENSP00000506350.1	MANE Select	NC_000019.10	15235519	15332539	-
NM_001379451.1	GeneID:63035	ENSG00000085185.16	HGNC:25657	BCORL1	BCL6 corepressor like 1	NM_001379451.1	NP_001366380.1	ENST00000540052.6	ENSP00000437775.2	MANE Select	NC_000023.11	129982635	130058071	+
NM_001386298.1	GeneID:23152	ENSG00000079432.11	HGNC:14214	CIC	capicua transcriptional repressor	NM_001386298.1	NP_001373227.1	ENST00000681038.1	ENSP00000505728.1	MANE Select	NC_000019.10	42269252	42295796	+
NM_001400225.1	GeneID:23269	ENSG00000174197.21	HGNC:14010	MGA	MAX dimerization protein MGA	NM_001400225.1	NP_001387154.1	ENST00000703841.1	ENSP00000515495.1	MANE Select	NC_000015.10	41660405	41769940	+
NM_001405607.1	GeneID:55193	ENSG00000163939.21	HGNC:30064	PBRM1	polybromo 1	NM_001405607.1	NP_001392536.1	ENST00000707071.1	ENSP00000516722.1	MANE Select	NC_000003.12	52545367	52685913	-
NM_001412.4	GeneID:1964	ENSG00000173674.13	HGNC:3250	EIF1AX	eukaryotic translation initiation factor 1A X-linked	NM_001412.4	NP_001403.1	ENST00000379607.10	ENSP00000368927.5	MANE Select	NC_000023.11	20124525	20141838	-
NM_001429.4	GeneID:2033	ENSG00000100393.18	HGNC:3373	EP300	EP300 lysine acetyltransferase	NM_001429.4	NP_001420.2	ENST00000263253.9	ENSP00000263253.7	MANE Select	NC_000022.11	41092592	41180077	+
NM_001618.4	GeneID:142	ENSG00000143799.16	HGNC:270	PARP1	poly(ADP-ribose) polymerase 1	NM_001618.4	NP_001609.2	ENST00000366794.10	ENSP00000355759.5	MANE Select	NC_000001.11	226360691	226408093	-
NM_001626.6	GeneID:208	ENSG00000105221.20	HGNC:392	AKT2	AKT serine/threonine kinase 2	NM_001626.6	NP_001617.1	ENST00000392038.7	ENSP00000375892.2	MANE Select	NC_000019.10	40230317	40285345	-
NM_001654.5	GeneID:369	ENSG00000078061.16	HGNC:646	ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	NM_001654.5	NP_001645.1	ENST00000377045.9	ENSP00000366244.4	MANE Select	NC_000023.11	47561205	47571908	+
NM_001664.4	GeneID:387	ENSG00000067560.16	HGNC:667	RHOA	ras homolog family member A	NM_001664.4	NP_001655.1	ENST00000418115.6	ENSP00000400175.1	MANE Select	NC_000003.12	49359145	49411976	-
NM_001706.5	GeneID:604	ENSG00000113916.19	HGNC:1001	BCL6	BCL6 transcription repressor	NM_001706.5	NP_001697.2	ENST00000406870.7	ENSP00000384371.2	MANE Select	NC_000003.12	187721381	187745468	-
NM_001731.3	GeneID:694	ENSG00000133639.7	HGNC:1130	BTG1	BTG anti-proliferation factor 1	NM_001731.3	NP_001722.1	ENST00000256015.5	ENSP00000256015.3	MANE Select	NC_000012.12	92140278	92145846	-
NM_001754.5	GeneID:861	ENSG00000159216.22	HGNC:10471	RUNX1	RUNX family transcription factor 1	NM_001754.5	NP_001745.2	ENST00000675419.1	ENSP00000501943.1	MANE Select	NC_000021.9	34787801	35049302	-
NM_001759.4	GeneID:894	ENSG00000118971.11	HGNC:1583	CCND2	cyclin D2	NM_001759.4	NP_001750.1	ENST00000261254.8	ENSP00000261254.3	MANE Select	NC_000012.12	4273762	4305353	+
NM_001760.5	GeneID:896	ENSG00000112576.14	HGNC:1585	CCND3	cyclin D3	NM_001760.5	NP_001751.1	ENST00000372991.9	ENSP00000362082.5	MANE Select	NC_000006.12	41934952	41941808	-
NM_001783.4	GeneID:973	ENSG00000105369.11	HGNC:1698	CD79A	CD79a molecule	NM_001783.4	NP_001774.1	ENST00000221972.8	ENSP00000221972.3	MANE Select	NC_000019.10	41877279	41881372	+
NM_001809.4	GeneID:1058	ENSG00000115163.17	HGNC:1851	CENPA	centromere protein A	NM_001809.4	NP_001800.1	ENST00000335756.9	ENSP00000336868.4	MANE Select	NC_000002.12	26786056	26794589	+
NM_001892.6	GeneID:1452	ENSG00000113712.20	HGNC:2451	CSNK1A1	casein kinase 1 alpha 1	NM_001892.6	NP_001883.4	ENST00000377843.8	ENSP00000367074.2	MANE Select	NC_000005.10	149492982	149551439	-
NM_001903.5	GeneID:1495	ENSG00000044115.23	HGNC:2509	CTNNA1	catenin alpha 1	NM_001903.5	NP_001894.2	ENST00000302763.12	ENSP00000304669.7	MANE Select	NC_000005.10	138753425	138935034	+
NM_001904.4	GeneID:1499	ENSG00000168036.21	HGNC:2514	CTNNB1	catenin beta 1	NM_001904.4	NP_001895.1	ENST00000349496.11	ENSP00000344456.5	MANE Select	NC_000003.12	41199505	41240443	+
NM_001949.5	GeneID:1871	ENSG00000112242.18	HGNC:3115	E2F3	E2F transcription factor 3	NM_001949.5	NP_001940.1	ENST00000346618.8	ENSP00000262904.4	MANE Select	NC_000006.12	20401879	20493714	+
NM_001967.4	GeneID:1974	ENSG00000156976.19	HGNC:3284	EIF4A2	eukaryotic translation initiation factor 4A2	NM_001967.4	NP_001958.2	ENST00000323963.10	ENSP00000326381.5	MANE Select	NC_000003.12	186783577	186789897	+
NM_001968.5	GeneID:1977	ENSG00000151247.15	HGNC:3287	EIF4E	eukaryotic translation initiation factor 4E	NM_001968.5	NP_001959.1	ENST00000450253.7	ENSP00000389624.2	MANE Select	NC_000004.12	98879276	98929133	-
NM_001982.4	GeneID:2065	ENSG00000065361.19	HGNC:3431	ERBB3	erb-b2 receptor tyrosine kinase 3	NM_001982.4	NP_001973.2	ENST00000267101.8	ENSP00000267101.4	MANE Select	NC_000012.12	56080165	56103505	+
NM_001983.4	GeneID:2067	ENSG00000012061.19	HGNC:3433	ERCC1	"ERCC excision repair 1, endonuclease non-catalytic subunit"	NM_001983.4	NP_001974.1	ENST00000300853.8	ENSP00000300853.3	MANE Select	NC_000019.10	45407334	45423917	-
NM_001987.5	GeneID:2120	ENSG00000139083.13	HGNC:3495	ETV6	ETS variant transcription factor 6	NM_001987.5	NP_001978.1	ENST00000396373.9	ENSP00000379658.3	MANE Select	NC_000012.12	11649674	11895377	+
NM_002007.4	GeneID:2249	ENSG00000075388.5	HGNC:3682	FGF4	fibroblast growth factor 4	NM_002007.4	NP_001998.1	ENST00000168712.3	ENSP00000168712.1	MANE Select	NC_000011.10	69771022	69775341	-
NM_002009.4	GeneID:2252	ENSG00000140285.14	HGNC:3685	FGF7	fibroblast growth factor 7	NM_002009.4	NP_002000.1	ENST00000267843.9	ENSP00000267843.4	MANE Select	NC_000015.10	49423242	49488775	+
NM_002010.3	GeneID:2254	ENSG00000102678.8	HGNC:3687	FGF9	fibroblast growth factor 9	NM_002010.3	NP_002001.1	ENST00000382353.6	ENSP00000371790.5	MANE Select	NC_000013.11	21671073	21704498	+
NM_002015.4	GeneID:2308	ENSG00000150907.12	HGNC:3819	FOXO1	forkhead box O1	NM_002015.4	NP_002006.2	ENST00000379561.6	ENSP00000368880.4	MANE Select	NC_000013.11	40555667	40666641	-
NM_002017.5	GeneID:2313	ENSG00000151702.20	HGNC:3749	FLI1	"Fli-1 proto-oncogene, ETS transcription factor"	NM_002017.5	NP_002008.2	ENST00000527786.7	ENSP00000433488.2	MANE Select	NC_000011.10	128694072	128813267	+
NM_002019.4	GeneID:2321	ENSG00000102755.15	HGNC:3763	FLT1	fms related receptor tyrosine kinase 1	NM_002019.4	NP_002010.2	ENST00000282397.9	ENSP00000282397.4	MANE Select	NC_000013.11	28300346	28495128	-
NM_002037.5	GeneID:2534	ENSG00000010810.20	HGNC:4037	FYN	"FYN proto-oncogene, Src family tyrosine kinase"	NM_002037.5	NP_002028.1	ENST00000354650.7	ENSP00000346671.3	MANE Select	NC_000006.12	111660332	111873452	-
NM_002049.4	GeneID:2623	ENSG00000102145.17	HGNC:4170	GATA1	GATA binding protein 1	NM_002049.4	NP_002040.1	ENST00000376670.9	ENSP00000365858.3	MANE Select	NC_000023.11	48786590	48794311	+
NM_002067.5	GeneID:2767	ENSG00000088256.10	HGNC:4379	GNA11	G protein subunit alpha 11	NM_002067.5	NP_002058.2	ENST00000078429.9	ENSP00000078429.3	MANE Select	NC_000019.10	3094362	3123999	+
NM_002072.5	GeneID:2776	ENSG00000156052.13	HGNC:4390	GNAQ	G protein subunit alpha q	NM_002072.5	NP_002063.2	ENST00000286548.9	ENSP00000286548.4	MANE Select	NC_000009.12	77716097	78031811	-
NM_002107.7	GeneID:3020	ENSG00000163041.15	HGNC:4764	H3-3A	H3.3 histone A	NM_002107.7	NP_002098.1	ENST00000366815.10	ENSP00000355780.3	MANE Select	NC_000001.11	226062716	226072019	+
NM_002116.8	GeneID:3105	ENSG00000206503.17	HGNC:4931	HLA-A	"major histocompatibility complex, class I, A"	NM_002116.8	NP_002107.3	ENST00000376809.10	ENSP00000366005.5	MANE Select	NC_000006.12	29942532	29945870	+
NM_002167.5	GeneID:3399	ENSG00000117318.11	HGNC:5362	ID3	inhibitor of DNA binding 3	NM_002167.5	NP_002158.3	ENST00000374561.6	ENSP00000363689.5	MANE Select	NC_000001.11	23557926	23559501	-
NM_002168.4	GeneID:3418	ENSG00000182054.12	HGNC:5383	IDH2	isocitrate dehydrogenase (NADP(+)) 2	NM_002168.4	NP_002159.2	ENST00000330062.8	ENSP00000331897.4	MANE Select	NC_000015.10	90083045	90102468	-
NM_002185.5	GeneID:3575	ENSG00000168685.17	HGNC:6024	IL7R	interleukin 7 receptor	NM_002185.5	NP_002176.2	ENST00000303115.8	ENSP00000306157.3	MANE Select	NC_000005.10	35856891	35879603	+
NM_002191.4	GeneID:3623	ENSG00000123999.6	HGNC:6065	INHA	inhibin subunit alpha	NM_002191.4	NP_002182.1	ENST00000243786.3	ENSP00000243786.2	MANE Select	NC_000002.12	219572310	219575711	+
NM_002192.4	GeneID:3624	ENSG00000122641.13	HGNC:6066	INHBA	inhibin subunit beta A	NM_002192.4	NP_002183.1	ENST00000242208.5	ENSP00000242208.4	MANE Select	NC_000007.14	41685114	41703090	-
NM_002199.4	GeneID:3660	ENSG00000168310.14	HGNC:6117	IRF2	interferon regulatory factor 2	NM_002199.4	NP_002190.2	ENST00000393593.8	ENSP00000377218.3	MANE Select	NC_000004.12	184387729	184474550	-
NM_002227.4	GeneID:3716	ENSG00000162434.16	HGNC:6190	JAK1	Janus kinase 1	NM_002227.4	NP_002218.2	ENST00000342505.5	ENSP00000343204.4	MANE Select	NC_000001.11	64833229	64966549	-
NM_002228.4	GeneID:3725	ENSG00000177606.9	HGNC:6204	JUN	"Jun proto-oncogene, AP-1 transcription factor subunit"	NM_002228.4	NP_002219.1	ENST00000371222.4	ENSP00000360266.2	MANE Select	NC_000001.11	58780791	58784047	-
NM_002253.4	GeneID:3791	ENSG00000128052.12	HGNC:6307	KDR	kinase insert domain receptor	NM_002253.4	NP_002244.1	ENST00000263923.5	ENSP00000263923.4	MANE Select	NC_000004.12	55078481	55125595	-
NM_002315.3	GeneID:4004	ENSG00000166407.16	HGNC:6641	LMO1	LIM domain only 1	NM_002315.3	NP_002306.1	ENST00000335790.8	ENSP00000338207.3	MANE Select	NC_000011.10	8224309	8263878	-
NM_002350.4	GeneID:4067	ENSG00000254087.10	HGNC:6735	LYN	"LYN proto-oncogene, Src family tyrosine kinase"	NM_002350.4	NP_002341.1	ENST00000519728.6	ENSP00000428924.1	MANE Select	NC_000008.11	55879835	56014169	+
NM_002351.5	GeneID:4068	ENSG00000183918.19	HGNC:10820	SH2D1A	SH2 domain containing 1A	NM_002351.5	NP_002342.1	ENST00000371139.9	ENSP00000360181.5	MANE Select	NC_000023.11	124346563	124373160	+
NM_002354.3	GeneID:4072	ENSG00000119888.13	HGNC:11529	EPCAM	epithelial cell adhesion molecule	NM_002354.3	NP_002345.2	ENST00000263735.9	ENSP00000263735.4	MANE Select	NC_000002.12	47369311	47387020	+
NM_002382.5	GeneID:4149	ENSG00000125952.23	HGNC:6913	MAX	MYC associated factor X	NM_002382.5	NP_002373.3	ENST00000358664.9	ENSP00000351490.4	MANE Select	NC_000014.9	65075127	65102517	-
NM_002392.6	GeneID:4193	ENSG00000135679.29	HGNC:6973	MDM2	MDM2 proto-oncogene	NM_002392.6	NP_002383.2	ENST00000258149.11	ENSP00000258149.6	MANE Select	NC_000012.12	68808177	68845544	+
NM_002393.5	GeneID:4194	ENSG00000198625.17	HGNC:6974	MDM4	MDM4 regulator of p53	NM_002393.5	NP_002384.2	ENST00000367182.8	ENSP00000356150.3	MANE Select	NC_000001.11	204516406	204558120	+
NM_002439.5	GeneID:4437	ENSG00000113318.13	HGNC:7326	MSH3	mutS homolog 3	NM_002439.5	NP_002430.3	ENST00000265081.7	ENSP00000265081.6	MANE Select	NC_000005.10	80654652	80876815	+
NM_002447.4	GeneID:4486	ENSG00000164078.17	HGNC:7381	MST1R	macrophage stimulating 1 receptor	NM_002447.4	NP_002438.2	ENST00000296474.8	ENSP00000296474.3	MANE Select	NC_000003.12	49887002	49903873	-
NM_002460.4	GeneID:3662	ENSG00000137265.18	HGNC:6119	IRF4	interferon regulatory factor 4	NM_002460.4	NP_002451.2	ENST00000380956.9	ENSP00000370343.4	MANE Select	NC_000006.12	391752	411443	+
NM_002467.6	GeneID:4609	ENSG00000136997.22	HGNC:7553	MYC	"MYC proto-oncogene, bHLH transcription factor"	NM_002467.6	NP_002458.2	ENST00000621592.8	ENSP00000478887.2	MANE Select	NC_000008.11	127736231	127742951	+
NM_002468.5	GeneID:4615	ENSG00000172936.20	HGNC:7562	MYD88	MYD88 innate immune signal transduction adaptor	NM_002468.5	NP_002459.3	ENST00000650905.2	ENSP00000498360.2	MANE Select	NC_000003.12	38138661	38143022	+
NM_002478.5	GeneID:4654	ENSG00000129152.5	HGNC:7611	MYOD1	myogenic differentiation 1	NM_002478.5	NP_002469.2	ENST00000250003.4	ENSP00000250003.3	MANE Select	NC_000011.10	17719571	17722136	+
NM_002485.5	GeneID:4683	ENSG00000104320.17	HGNC:7652	NBN	nibrin	NM_002485.5	NP_002476.2	ENST00000265433.8	ENSP00000265433.4	MANE Select	NC_000008.11	89933331	89984667	-
NM_002520.7	GeneID:4869	ENSG00000181163.16	HGNC:7910	NPM1	nucleophosmin 1	NM_002520.7	NP_002511.1	ENST00000296930.10	ENSP00000296930.5	MANE Select	NC_000005.10	171387849	171410900	+
NM_002524.5	GeneID:4893	ENSG00000213281.7	HGNC:7989	NRAS	"NRAS proto-oncogene, GTPase"	NM_002524.5	NP_002515.1	ENST00000369535.5	ENSP00000358548.4	MANE Select	NC_000001.11	114704469	114716771	-
NM_002529.4	GeneID:4914	ENSG00000198400.15	HGNC:8031	NTRK1	neurotrophic receptor tyrosine kinase 1	NM_002529.4	NP_002520.2	ENST00000524377.7	ENSP00000431418.1	MANE Select	NC_000001.11	156860865	156881850	+
NM_002576.5	GeneID:5058	ENSG00000149269.12	HGNC:8590	PAK1	p21 (RAC1) activated kinase 1	NM_002576.5	NP_002567.3	ENST00000356341.8	ENSP00000348696.4	MANE Select	NC_000011.10	77322017	77474094	-
NM_002578.5	GeneID:5063	ENSG00000077264.19	HGNC:8592	PAK3	p21 (RAC1) activated kinase 3	NM_002578.5	NP_002569.1	ENST00000372007.10	ENSP00000361077.4	MANE Select	NC_000023.11	111096191	111227361	+
NM_002609.4	GeneID:5159	ENSG00000113721.16	HGNC:8804	PDGFRB	platelet derived growth factor receptor beta	NM_002609.4	NP_002600.1	ENST00000261799.9	ENSP00000261799.4	MANE Select	NC_000005.10	150113839	150155845	-
NM_002610.5	GeneID:5163	ENSG00000152256.16	HGNC:8809	PDK1	pyruvate dehydrogenase kinase 1	NM_002610.5	NP_002601.1	ENST00000282077.8	ENSP00000282077.3	MANE Select	NC_000002.12	172556090	172608669	+
NM_002613.5	GeneID:5170	ENSG00000140992.22	HGNC:8816	PDPK1	3-phosphoinositide dependent protein kinase 1	NM_002613.5	NP_002604.1	ENST00000342085.9	ENSP00000344220.4	MANE Select	NC_000016.10	2538021	2603188	+
NM_002647.4	GeneID:5289	ENSG00000078142.16	HGNC:8974	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	NM_002647.4	NP_002638.2	ENST00000262039.9	ENSP00000262039.3	MANE Select	NC_000018.10	41955234	42087830	+
NM_002648.4	GeneID:5292	ENSG00000137193.16	HGNC:8986	PIM1	"Pim-1 proto-oncogene, serine/threonine kinase"	NM_002648.4	NP_002639.1	ENST00000373509.6	ENSP00000362608.5	MANE Select	NC_000006.12	37170152	37175428	+
NM_002661.5	GeneID:5336	ENSG00000197943.15	HGNC:9066	PLCG2	phospholipase C gamma 2	NM_002661.5	NP_002652.2	ENST00000564138.6	ENSP00000482457.1	MANE Select	NC_000016.10	81779291	81962685	+
NM_002691.4	GeneID:5424	ENSG00000062822.18	HGNC:9175	POLD1	"DNA polymerase delta 1, catalytic subunit"	NM_002691.4	NP_002682.2	ENST00000440232.7	ENSP00000406046.1	MANE Select	NC_000019.10	50384347	50418014	+
NM_002717.4	GeneID:5520	ENSG00000221914.13	HGNC:9304	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	NM_002717.4	NP_002708.1	ENST00000380737.8	ENSP00000370113.3	MANE Select	NC_000008.11	26291508	26372680	+
NM_002721.5	GeneID:5537	ENSG00000119414.14	HGNC:9323	PPP6C	protein phosphatase 6 catalytic subunit	NM_002721.5	NP_002712.1	ENST00000373547.9	ENSP00000362648.4	MANE Select	NC_000009.12	125146573	125189803	-
NM_002734.5	GeneID:5573	ENSG00000108946.18	HGNC:9388	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	NM_002734.5	NP_002725.1	ENST00000589228.6	ENSP00000464977.2	MANE Select	NC_000017.11	68512430	68533431	+
NM_002740.6	GeneID:5584	ENSG00000163558.15	HGNC:9404	PRKCI	protein kinase C iota	NM_002740.6	NP_002731.4	ENST00000295797.5	ENSP00000295797.4	MANE Select	NC_000003.12	170222424	170305977	+
NM_002745.5	GeneID:5594	ENSG00000100030.17	HGNC:6871	MAPK1	mitogen-activated protein kinase 1	NM_002745.5	NP_002736.3	ENST00000215832.11	ENSP00000215832.7	MANE Select	NC_000022.11	21759657	21867645	-
NM_002746.3	GeneID:5595	ENSG00000102882.14	HGNC:6877	MAPK3	mitogen-activated protein kinase 3	NM_002746.3	NP_002737.2	ENST00000263025.9	ENSP00000263025.4	MANE Select	NC_000016.10	30114105	30123220	-
NM_002755.4	GeneID:5604	ENSG00000169032.13	HGNC:6840	MAP2K1	mitogen-activated protein kinase kinase 1	NM_002755.4	NP_002746.1	ENST00000307102.10	ENSP00000302486.5	MANE Select	NC_000015.10	66386912	66491544	+
NM_002773.5	GeneID:5652	ENSG00000052344.18	HGNC:9491	PRSS8	serine protease 8	NM_002773.5	NP_002764.1	ENST00000317508.11	ENSP00000319730.6	MANE Select	NC_000016.10	31131433	31135727	-
NM_002834.5	GeneID:5781	ENSG00000179295.21	HGNC:9644	PTPN11	protein tyrosine phosphatase non-receptor type 11	NM_002834.5	NP_002825.3	ENST00000351677.7	ENSP00000340944.3	MANE Select	NC_000012.12	112418947	112509918	+
NM_002839.4	GeneID:5789	ENSG00000153707.21	HGNC:9668	PTPRD	protein tyrosine phosphatase receptor type D	NM_002839.4	NP_002830.1	ENST00000381196.9	ENSP00000370593.3	MANE Select	NC_000009.12	8314246	10613002	-
NM_002850.4	GeneID:5802	ENSG00000105426.22	HGNC:9681	PTPRS	protein tyrosine phosphatase receptor type S	NM_002850.4	NP_002841.3	ENST00000262963.11	ENSP00000262963.8	MANE Select	NC_000019.10	5205508	5340812	-
NM_002875.5	GeneID:5888	ENSG00000051180.19	HGNC:9817	RAD51	RAD51 recombinase	NM_002875.5	NP_002866.2	ENST00000267868.8	ENSP00000267868.3	MANE Select	NC_000015.10	40695174	40732340	+
NM_002878.4	GeneID:5892	ENSG00000185379.23	HGNC:9823	RAD51D	RAD51 paralog D	NM_002878.4	NP_002869.3	ENST00000345365.11	ENSP00000338790.6	MANE Select	NC_000017.11	35092221	35119860	-
NM_002880.4	GeneID:5894	ENSG00000132155.16	HGNC:9829	RAF1	"Raf-1 proto-oncogene, serine/threonine kinase"	NM_002880.4	NP_002871.1	ENST00000251849.9	ENSP00000251849.4	MANE Select	NC_000003.12	12583601	12664117	-
NM_002890.3	GeneID:5921	ENSG00000145715.17	HGNC:9871	RASA1	RAS p21 protein activator 1	NM_002890.3	NP_002881.1	ENST00000274376.11	ENSP00000274376.6	MANE Select	NC_000005.10	87267883	87391916	+
NM_003000.3	GeneID:6390	ENSG00000117118.14	HGNC:10681	SDHB	succinate dehydrogenase complex iron sulfur subunit B	NM_003000.3	NP_002991.2	ENST00000375499.8	ENSP00000364649.3	MANE Select	NC_000001.11	17018722	17054032	-
NM_003001.5	GeneID:6391	ENSG00000143252.19	HGNC:10682	SDHC	succinate dehydrogenase complex subunit C	NM_003001.5	NP_002992.1	ENST00000367975.7	ENSP00000356953.3	MANE Select	NC_000001.11	161314381	161363206	+
NM_003002.4	GeneID:6392	ENSG00000204370.16	HGNC:10683	SDHD	succinate dehydrogenase complex subunit D	NM_003002.4	NP_002993.1	ENST00000375549.8	ENSP00000364699.3	MANE Select	NC_000011.10	112086873	112095794	+
NM_003010.4	GeneID:6416	ENSG00000065559.17	HGNC:6844	MAP2K4	mitogen-activated protein kinase kinase 4	NM_003010.4	NP_003001.1	ENST00000353533.10	ENSP00000262445.5	MANE Select	NC_000017.11	12020877	12143828	+
